"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 25, 2020","1,236.29","1,264.75","1,269.29","1,226.03","2.22B","-1.71%"
"Aug 24, 2020","1,257.82","1,260.47","1,269.29","1,255.54","2.10B","-0.10%"
"Aug 21, 2020","1,259.08","1,284.89","1,297.46","1,255.21","4.22B","-1.54%"
"Aug 20, 2020","1,278.82","1,279.04","1,283.83","1,262.82","2.92B","0.00%"
"Aug 19, 2020","1,278.80","1,245.60","1,281.16","1,245.41","2.86B","3.41%"
"Aug 18, 2020","1,236.62","1,231.38","1,247.28","1,226.93","1.71B","0.64%"
"Aug 17, 2020","1,228.75","1,222.05","1,231.73","1,214.50","1.89B","0.70%"
"Aug 14, 2020","1,220.17","1,231.74","1,235.17","1,215.44","2.00B","-1.58%"
"Aug 13, 2020","1,239.73","1,261.19","1,268.55","1,235.38","2.30B","-1.22%"
"Aug 12, 2020","1,255.05","1,253.77","1,260.37","1,235.02","3.10B","0.51%"
"Aug 11, 2020","1,248.68","1,214.37","1,252.45","1,214.37","3.28B","3.44%"
"Aug 10, 2020","1,207.17","1,190.63","1,211.05","1,175.86","2.38B","0.88%"
"Aug 07, 2020","1,196.61","1,167.78","1,198.66","1,124.14","4.20B","2.20%"
"Aug 06, 2020","1,170.82","1,225.63","1,229.66","1,170.82","3.48B","-4.66%"
"Aug 05, 2020","1,228.03","1,231.09","1,239.85","1,202.54","3.20B","0.55%"
"Aug 04, 2020","1,221.30","1,273.35","1,276.48","1,199.72","2.64B","-3.04%"
"Jul 30, 2020","1,259.64","1,272.95","1,273.50","1,257.85","878.17M","-0.99%"
"Jul 29, 2020","1,272.22","1,304.27","1,307.20","1,258.82","2.65B","-2.21%"
"Jul 28, 2020","1,300.99","1,349.99","1,351.76","1,300.99","2.40B","-3.63%"
"Jul 27, 2020","1,350.00","1,356.13","1,361.33","1,347.53","1.60B","0.11%"
"Jul 24, 2020","1,348.49","1,342.21","1,349.47","1,338.91","1.96B","0.02%"
"Jul 23, 2020","1,348.21","1,343.85","1,355.47","1,341.94","1.82B","0.84%"
"Jul 22, 2020","1,337.03","1,342.41","1,348.78","1,332.17","3.69B","0.19%"
"Jul 21, 2020","1,334.55","1,354.23","1,361.98","1,324.51","2.60B","-0.80%"
"Jul 20, 2020","1,345.30","1,343.19","1,351.91","1,339.21","1.87B","0.11%"
"Jul 17, 2020","1,343.79","1,346.91","1,349.05","1,340.57","1.46B","-0.32%"
"Jul 16, 2020","1,348.08","1,350.01","1,356.38","1,346.90","2.23B","0.66%"
"Jul 14, 2020","1,339.25","1,344.65","1,350.40","1,332.29","3.05B","-0.60%"
